"Date","Open","High","Low","Close","Volume","Adjusted","Log_Return","Simple_Return","SMA_10","SMA_20","Daily_Avg_Lexicon_Sentiment","Daily_Sum_Lexicon_Sentiment","Num_Articles_That_Day"
2025-06-30,202.0099945,207.3899994,199.2599945,205.1699982,91912800,205.1699982,0.0201360472288666,0.0203401450337565,200.22500001,200.65699997,-0.0333333333333333,-1,30
2025-07-01,206.6699982,210.1900024,206.1399994,207.8200073,78788900,207.8200073,0.0128334605461498,0.0129161628076672,201.16500092,200.96300049,-0.0333333333333333,-1,30
2025-07-02,208.9100037,213.3399963,208.1399994,212.4400024,67941800,212.4400024,0.021987251300454,0.0222307522746392,202.84500122,201.421500395,-0.0666666666666667,-2,30
2025-07-03,212.1499939,214.6499939,211.8099976,213.5500031,34955800,213.5500031,0.00521140495247631,0.00522500794323094,204.54200135,201.958000185,0.0333333333333333,1,30
2025-07-07,212.6799927,216.2299957,208.8000031,209.9499969,50229000,209.9499969,-0.0170016194392002,-0.0168579075052235,205.43700104,202.423999785,0,0,0
2025-07-08,210.1000061,211.4299927,208.4499969,210.0099945,42848900,210.0099945,0.000285730077325549,0.000285770902052357,206.28800049,202.7284996,0,0,0
2025-07-09,209.5299988,211.3300018,207.2200012,211.1399994,48749400,211.1399994,0.00536629527772486,0.00538071963046496,207.37200012,203.212999725,0,0,0
2025-07-10,210.5099945,213.4799957,210.0299988,212.4100037,44443600,212.4100037,0.00599696893810334,0.00601498675574975,208.45700073,203.7,0,0,0
2025-07-11,210.5700073,212.1300049,209.8600006,211.1600037,39765800,211.1600037,-0.00590222918026234,-0.00588484524375534,209.4730011,204.319000245,0,0,0
2025-07-14,209.9299927,210.9100037,207.5399933,208.6199951,38840100,208.6199951,-0.0121017657175295,-0.0120288338487086,210.22700043,204.790000155,0,0,0
2025-07-15,209.2200012,211.8899994,208.9199982,209.1100006,42296300,209.1100006,0.00234604040786776,0.00234879451399237,210.62100067,205.42300034,0,0,0
2025-07-16,210.3000031,212.3999939,208.6399994,210.1600037,47490500,210.1600037,0.00500873081490643,0.00502129547600411,210.85500031,206.010000615,0,0,0
2025-07-17,210.5700073,211.8000031,209.5899963,210.0200043,48068100,210.0200043,-0.000666378230830357,-0.000666156250167565,210.6130005,206.72900086,0,0,0
2025-07-18,210.8699951,211.7899933,209.6999969,211.1799927,48939500,211.1799927,0.00550803105861273,0.00552322815089097,210.37599946,207.459000405,0,0,0
