article_id,Date,Headline,Snippet,Article_Sentiment_Score,Number_of_Sentiment_Words,Average_Article_Sentiment
97,2025-06-22T07:02:52Z,"30,895 Shares in Apple Inc. (NASDAQ:AAPL) Purchased by BridgePort Financial Solutions LLC","BridgePort Financial Solutions LLC acquired a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, according to its most recent disclosure with the SEC. The institutional inâ€¦ [+6040 chars]",1,1,1
99,2025-06-22T07:36:50Z,IronOak Wealth LLC. Makes New Investment in Apple Inc. (NASDAQ:AAPL),"IronOak Wealth LLC. acquired a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, Holdings Channel.com reports. The fund acquired 9,441 shares of the iPhone makerâ€™s stock, valâ€¦ [+6860 chars]",1,1,1
102,2025-06-22T13:19:25Z,A Major Rumor report from Majin Bu covers the iPhone 17 Proâ€™s new Vapor Chamber System,"In 2021, Patently Apple posted two reports regarding possible future cooling systems / vapor chambers being eyed for a future version of the iPhone Pro (01 and 02). In January 2021 Kuo stated that heâ€¦ [+5951 chars]",-1,1,-1
103,2025-06-22T22:58:19Z,iPhone Reportedly Moving to All-Screen Design in Two Stages,"Apple has long been working towards an iPhone with an all-screen design, and it might finally achieve the feat in a few more years from now.
In his Power On newsletter today, Bloomberg's Mark Gurmanâ€¦ [+1780 chars]",1,1,1
104,2025-06-22T18:06:43Z,Apple iPhone 16 Pro: Save Up To $400 In These New Deals,"If youre looking to buy the iPhone 16 or iPhone 16 Pro from Apple, you have to pay full price. Theres no price cut and no refurbished option at all. However, Amazons Renewed Premium offers are an altâ€¦ [+2513 chars]",1,1,1
105,2025-06-22T07:02:49Z,Total Wealth Planning & Management Inc. Makes New $3.54 Million Investment in Apple Inc. (NASDAQ:AAPL),"Total Wealth Planning &amp; Management Inc. bought a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, HoldingsChannel reports. The institutional investor bought 14,132 shâ€¦ [+6760 chars]",1,1,1
106,2025-06-22T07:02:49Z,Universal Beteiligungs und Servicegesellschaft mbH Makes New Investment in Apple Inc. (NASDAQ:AAPL),"Universal Beteiligungs und Servicegesellschaft mbH purchased a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, according to its most recent Form 13F filing with the Securitâ€¦ [+6342 chars]",1,1,1
107,2025-06-22T14:24:51Z,"A look at Apple's conservative approach to M&A, which may need to change to catch up in AI by acquiring a startup like Perplexity, Cohere, Sierra AI, or Mistral","{ window.open(this.href, '_blank'); }, 200); return false;""&gt;How did US strikes impact global oil prices? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why are Tel Aviv shares hittâ€¦ [+775 chars]",-3,5,-0.6
108,2025-06-22T10:00:03Z,"Before iOS 26, Here's What Apple Could Bring to Your iPhone With iOS 18.6","Before Apple releasesÂ iOS 26Â this fall, the company will release iOS 18.6, and the first public beta of iOS 18.6Â just became available on June 18. While iOS 26 will bring a major redesign to iPhones,â€¦ [+2427 chars]",-1,1,-1
109,2025-06-22T18:00:57Z,iOS 26 Redesigns Photos App With New Library And Collections Tabs,"Apple is preparing to release iOS 26, and one of the major changes involves a redesign of the Photos app. The update aims to strike a balance between the previous and current layouts, potentially satâ€¦ [+2064 chars]",-1,1,-1
111,2025-06-22T14:00:00Z,"If you give it a chance, there's a lot to love about the iPhone's Camera Control button","Itâ€™s rare to see almost all Apple fans agree on something simultaneously, but when the Camera Control feature launched alongside the iPhone 16 line in September, hate for the additional button was swâ€¦ [+5038 chars]",1,3,0.3333333333333333
113,2025-06-23T07:10:57Z,Northstar Financial Companies Inc. Acquires New Shares in Apple Inc. (NASDAQ:AAPL),"Northstar Financial Companies Inc. acquired a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, Holdings Channel.com reports. The institutional investor acquired 39,801 shareâ€¦ [+6087 chars]",1,1,1
114,2025-06-23T07:42:50Z,"M1 Capital Management LLC Acquires Shares of 79,481 Apple Inc. (NASDAQ:AAPL)","M1 Capital Management LLC bought a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange â€¦ [+6120 chars]",1,1,1
115,2025-06-23T15:43:16Z,"Tech stocks, including Apple, were safety trade during Covid, but this market is different","Tech stocks have acted like a stock market safe haven at various times in recent years when volatility went up, such as during the Covid pandemic. But a recent slide in the tech stock often considereâ€¦ [+141 chars]",0,2,0
116,2025-06-23T07:42:50Z,Apple Inc. (NASDAQ:AAPL) Shares Bought by Triton Wealth Management PLLC,"Triton Wealth Management PLLC boosted its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 40.2% during the fourth quarter, Holdings Channel reports. The fund owned 38,055 shares of the iPhone mâ€¦ [+6107 chars]",1,1,1
117,2025-06-23T07:10:53Z,"Wealthedge Investment Advisors LLC Purchases Shares of 31,853 Apple Inc. (NASDAQ:AAPL)","Wealthedge Investment Advisors LLC bought a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, Holdings Channel.com reports. The fund bought 31,853 shares of the iPhone makerâ€™s sâ€¦ [+6686 chars]",1,1,1
118,2025-06-23T15:10:24Z,"This Tiny CarPlay Adapter Is Almost Free at Best Buy With Limited Stock, Works With Both Android and iPhone","If your car or truck is recent enough to have a factory installed Apple CarPlay and/or Android Auto wired setup for your smartphone but not quite new or high-end enough for built-in wireless, you knoâ€¦ [+2322 chars]",0,2,0
119,2025-06-23T07:10:53Z,Old North State Trust LLC Raises Stock Position in Apple Inc. (NASDAQ:AAPL),"Old North State Trust LLC grew its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 23.9% in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange â€¦ [+6314 chars]",3,3,1
120,2025-06-23T07:42:48Z,Nestegg Advisors Inc. Takes Position in Apple Inc. (NASDAQ:AAPL),"Nestegg Advisors Inc. acquired a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, HoldingsChannel.com reports. The fund acquired 14,534 shares of the iPhone makerâ€™s stock, vâ€¦ [+5942 chars]",1,1,1
122,2025-06-23T12:17:24Z,Apple Shareholder Suing Cupertino Company Over Delayed Siri Features Lowering Stock Price,"An Apple shareholder has filed aÂ proposed class action lawsuit against the company in a California court, over alleged violations of federal U.S. securities laws. Shareholder Eric Tucker also named Aâ€¦ [+1364 chars]",-1,1,-1
123,2025-06-23T05:49:57Z,"Snap, Charge & Go: Anker MagGo Power Bank for iPhone Down to $71 â€“ Limited Stock","Quick Deal Snapshot:
<ul><li>Product: Anker MagGo 10,000mAh Power Bank (Qi2 Certified, MagSafe-Compatible)
</li><li>Was: $89.99
</li><li>Now: $71.99 (Save 20%)
</li><li>Bonus: Built-in foldable sâ€¦ [+1412 chars]",1,3,0.3333333333333333
124,2025-06-23T16:04:31Z,Is Apple Looking To Catch Up In AI With Big Deal?,Apple's (AAPL) slow response to the ubiquitous artificial intelligence megatrend has been a drag on Apple stock. But the consumer electronics giant could be looking to catch up with rivals through a â€¦ [+2571 chars],-1,3,-0.3333333333333333
125,2025-06-23T07:42:48Z,Thoma Capital Management LLC Takes $3.81 Million Position in Apple Inc. (NASDAQ:AAPL),"Thoma Capital Management LLC acquired a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, Holdings Channel reports. The institutional investor acquired 15,223 shâ€¦ [+6197 chars]",1,1,1
126,2025-06-23T07:10:57Z,Campbell Deegan Wealth Management LLC Invests $2.04 Million in Apple Inc. (NASDAQ:AAPL),"Campbell Deegan Wealth Management LLC purchased a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, Holdings Channel.com reports. The firm purchased 8,163 shareâ€¦ [+6717 chars]",1,1,1
127,2025-06-23T07:10:55Z,Lighthouse Financial LLC Invests $2.94 Million in Apple Inc. (NASDAQ:AAPL),"Lighthouse Financial LLC bought a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the 4th quarter, according to its most recent filing with the Securities and Exchange Commissionâ€¦ [+6597 chars]",1,1,1
128,2025-06-23T20:35:07Z,Apple might buy Perplexity AI to bolster AI division,"Apple is still considering its AI moves, and now it seems like the startup Perplexity might be on the menu.
A new report fromÂ Bloombergâ€™sÂ Mark Gurman says that Apple is weighing the pros and cons ofâ€¦ [+2719 chars]",-1,5,-0.2
131,2025-06-23T14:56:46Z,"Apple Is Facing Another Siri AI Lawsuit, This Time From Shareholders","Apple is being sued for delaying Apple Intelligence features once again. This time, the lawsuit comes in the form of a federal securities class-action on behalf of all individuals or entities who purâ€¦ [+2154 chars]",-1,3,-0.3333333333333333
132,2025-06-23T13:54:11Z,"To catch up in AI, Apple may need to make its biggest acquisition ever","â€œApple will need to make the biggest acquisition in its history to put an end to its artificial intelligence debacle,â€ Mark Gurman writes for Bloomberg News. The next generation of products from smarâ€¦ [+2499 chars]",0,2,0
135,2025-06-23T07:42:48Z,DSG Capital Advisors LLC Invests $49.90 Million in Apple Inc. (NASDAQ:AAPL),"DSG Capital Advisors LLC purchased a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, according to the company in its most recent 13F filing with the SEC. The instituâ€¦ [+6818 chars]",1,1,1
137,2025-06-23T23:00:00Z,Intel to Apple Silicon Transition for Mac Announced Five Years Ago,"Apple silicon was announced five years ago this week.
Following years of rumors, Apple in June 2020 unveiled its plan to transition the entire Mac lineup from Intel processors to its own custom-desiâ€¦ [+1704 chars]",-1,1,-1
138,2025-06-23T22:56:43Z,"VSCO to launch â€˜Capture,â€™ a standalone iPhone camera app with film-style filters",Visual Supply Co. is about to enter the increasingly competitive iPhone third-party camera app market. The company best known for VSCO: Photo Editor is launching a standalone camera app called Capturâ€¦ [+2269 chars],1,1,1
139,2025-06-23T17:10:42Z,Apple releases watchOS 26 beta 2,"watchOS 26 is the next big software update coming to Apple Watch, and Apple has just released developer beta 2 for testing.
Apple Watch users will get a variety of new features this fall in watchOS â€¦ [+1237 chars]",0,2,0
143,2025-06-24T18:26:56Z,Forget $100 billion buybacks. Apple must make a big AI move to turn its stock around,Apple is one of the greatest stock buyback stories in history. It's time to cut it. We have long been fans of Apple's repurchase plans in addition to the margin expansion attributable to strong serviâ€¦ [+143 chars],2,2,1
144,2025-06-24T17:20:07Z,"A Perplexity AI Deal Could Be Just What Apple Stock Needs, Analysts Say. Others Donâ€™t Think Itâ€™s That Simple","{ window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trumps Iran strikes impact oil prices? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Hims &amp; Hers lâ€¦ [+708 chars]",-3,3,-1
145,2025-06-24T16:58:34Z,"Apple May Finally Catch Up In AI: Analyst Sees Big Upside From Perplexity Deal, Smarter Siri, Google Search Rivalry","BofA Securities analyst Wamsi Mohan maintained a Buy rating on Apple Inc (NASDAQ:AAPL) with a price target of $235 on Tuesday.The rerating reflected strong capital returns, AI leadership and optionalâ€¦ [+142 chars]",0,4,0
146,2025-06-24T20:23:43Z,Apple stock has severely lagged the rest of the Mag 7. BofA says a rumored AI deal could turn it around.,"It's been a rough year for Apple stock, but there might be hope for a rebound with a rumored AI acquisition.
Apple has been the worst-performingMagnificent Seven stock in 2025, with shares down 20% â€¦ [+4816 chars]",-3,3,-1
147,2025-06-24T07:16:53Z,"Hobart Private Capital LLC Acquires 2,130 Shares of Apple Inc. (NASDAQ:AAPL)","Hobart Private Capital LLC grew its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 36.6% during the 1st quarter, Holdings Channel.com reports. The institutional investor owned 7,956 â€¦ [+6843 chars]",1,1,1
148,2025-06-24T07:16:51Z,"Fairtree Asset Management Pty Ltd Acquires Shares of 11,154 Apple Inc. (NASDAQ:AAPL)","Fairtree Asset Management Pty Ltd bought a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, HoldingsChannel.com reports. The institutional investor bought 1â€¦ [+6092 chars]",1,1,1
149,2025-06-24T07:16:50Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by Modus Advisors LLC,"Modus Advisors LLC lowered its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 0.4% during the first quarter, Holdings Channel reports. The fund owned 47,813 shares of the iPhone makerâ€™sâ€¦ [+6927 chars]",1,1,1
150,2025-06-24T07:16:53Z,"Jacobs & Co. CA Sells 3,644 Shares of Apple Inc. (NASDAQ:AAPL)","Jacobs &amp; Co. CA lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.5% during the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 245,305 shaâ€¦ [+6990 chars]",1,1,1
151,2025-06-24T07:16:54Z,"Neville Rodie & Shaw Inc. Sells 32,269 Shares of Apple Inc. (NASDAQ:AAPL)","Neville Rodie &amp; Shaw Inc. cut its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 5.4% during the 1st quarter, according to its most recent disclosure with the Securities and Exchâ€¦ [+6410 chars]",1,1,1
152,2025-06-24T07:16:52Z,Norman Fields Gottscho Capital Management LLC Reduces Stock Holdings in Apple Inc. (NASDAQ:AAPL),"Norman Fields Gottscho Capital Management LLC lowered its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 11.0% during the first quarter, according to its most recent disclosure with theâ€¦ [+6296 chars]",1,1,1
153,2025-06-24T15:00:19Z,"US stock market today: Markets cheer fragile Israelâ€‘Iran ceasefire â€” Dow jumps 350 points as S&P 500 hits new record; Nvidia, Apple lead tech rally while Nasdaq surges past 17,700","US stock market today: Dow, S&amp;P 500, Nasdaq rally as Trump urges Israel to honor Iran ceasefire- The stock market today saw a sharp boost on Tuesday as President Trump stepped in to try and salvaâ€¦ [+6349 chars]",6,8,0.75
154,2025-06-24T07:16:51Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by Park National Corp OH,"Park National Corp OH reduced its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 2.8% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Câ€¦ [+6280 chars]",1,1,1
155,2025-06-24T07:16:55Z,Apple Inc. (NASDAQ:AAPL) Shares Sold by Cacti Asset Management LLC,"Cacti Asset Management LLC lessened its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 0.2% during the 1st quarter, according to the company in its most recent disclosure with the Securities aâ€¦ [+6956 chars]",1,1,1
156,2025-06-24T07:16:50Z,Rempart Asset Management Inc. Decreases Stock Holdings in Apple Inc. (NASDAQ:AAPL),"Rempart Asset Management Inc. lessened its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 6.6% during the 1st quarter, according to its most recent disclosure with the Securities and Exchange â€¦ [+6217 chars]",1,1,1
157,2025-06-24T08:00:00Z,Digest: Google Offers Search Overhaul to Dodge EU DMA Fine and Pulls Out of Deal with Aussie Publishers; Apple Mulls Perplexity AI Acquisition,"In todays Digest, we discuss Googles Search overhaul offer to dodge an EU DMA fine and Google backing out ofÂ itsÂ deal with Aussie publishers. Apple also mulls an acquisition of Perplexity AI,Â while bâ€¦ [+3435 chars]",0,4,0
158,2025-06-24T18:05:10Z,Iâ€™m 55 with $2.5 million in Apple stock- can I use these capital gains for the first 5 years of my retirement?,"Planning for retirement is a complicated process that can take years to wrap your head around. Having millions of dollars in stock is incredibly fortunate, but it also poses some hard-to-answer questâ€¦ [+147 chars]",1,5,0.2
160,2025-06-24T18:26:51Z,Why Apple potentially acquiring Perplexity could be big news for its stock,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Fiserv lead the S&amp;P 500 today? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Trumps ceasefire impacâ€¦ [+743 chars]",-2,4,-0.5
162,2025-06-24T22:55:10Z,Apple fires back at courtâ€™s â€˜punitiveâ€™ App Store order in Epic Games case,"After a couple of weeks of radio silence in the Epic Games, Inc. v. Apple Inc. case, Apples lawyers are now back with a vengeance in the Ninth Circuit. And this time, theyre not just pushing back on â€¦ [+3927 chars]",-1,1,-1
163,2025-06-24T15:43:50Z,"Deals: 24GB Mac mini $150 off, M3 MacBook Air $450+ off, iPad Air, Twelve South MagSafe stand $60, more",Todays Apple deals are now ready to roll starting off with another shot at saving $150 off the sticker price on Apples latest 24GB M4 Mac mini with the 512GB SSD. Next we move over to some clearance â€¦ [+5727 chars],1,1,1
164,2025-06-24T15:01:18Z,AAPL investors have opportunity to lead Apple securities fraud lawsuit,"AAPL investors now have the opportunity to take a leading role in a securities fraud lawsuit against Apple, as the company faces allegations of misleading statements regarding its business practices â€¦ [+1722 chars]",-2,6,-0.3333333333333333
165,2025-06-24T11:08:43Z,Apple Has No Need to Panic-Buy Its Way to AI Glory,"(Bloomberg Opinion) -- Now that the Big Tech conference season is behind us, the smart money in Apple Land is saying that Chief Executive Officer Tim Cook should be preparing to openÂ his checkbook foâ€¦ [+5773 chars]",1,3,0.3333333333333333
166,2025-06-24T07:16:51Z,Milestone Asset Management Group LLC Invests $4.94 Million in Apple Inc. (NASDAQ:AAPL),"Milestone Asset Management Group LLC acquired a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, according to its most recent Form 13F filing with the Securities &amp; Exchangeâ€¦ [+6202 chars]",1,1,1
167,2025-06-24T07:16:49Z,Avant Financial Advisors LLC Makes New $4.50 Million Investment in Apple Inc. (NASDAQ:AAPL),"Avant Financial Advisors LLC acquired a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, according to its most recent filing with the Securities and Exchange Commission (â€¦ [+6126 chars]",1,1,1
168,2025-06-24T21:37:02Z,Nomad Launches iPhone Wallet With Find My Integration,"Nomad today announced the launch of the Leather Mag Wallet for iPhone, which includes an integrated Tracking Card that works with Apple's Find My app.
The Leather Mag Wallet attaches to the back of â€¦ [+1032 chars]",1,1,1
169,2025-06-24T15:03:37Z,iPhone 4 and FaceTime Launched 15 Years Ago Today,"Today marks 15 years since Apple released the popular iPhone 4 and launched FaceTime, its proprietary video calling service.
The â€ŒiPhoneâ€Œ 4 first became available to customers on June 24, 2010, follâ€¦ [+2952 chars]",0,2,0
170,2025-06-24T20:28:43Z,New Apple TV 4K release date: Hereâ€™s when to expect the next model,"Apple last updated its Apple TV 4K set-top box in late 2022. So when is the next model coming? The wait wont be long. Heres when to expect the new Apple TV 4K to launch.
Although rumors about the neâ€¦ [+1933 chars]",0,2,0
173,2025-06-25T13:09:39Z,"BofA Securities reiterates buy rating on Apple stock, sees several potential benefits to mooted Perplexity acquisition","Apple is reportedly in discussions to acquire AI startup Perplexity. Bank of America Securities (BofA) suggests this move could boost Appleâ€™s stock, which has declined precipitously this year.
Chrisâ€¦ [+1719 chars]",0,4,0
174,2025-06-25T01:30:00Z,Why Investors Should Reconsider Buying the Dip on Apple Stock (AAPL),"The year 2025, so far, hasnt been kind to Apple (AAPL) shareholders. The stock is trading below the $200 markabout 25% off its all-time highsmaking it the worst performer among the top seven tech stoâ€¦ [+6455 chars]",0,2,0
175,2025-06-25T07:04:51Z,"Moody National Bank Trust Division Sells 1,479 Shares of Apple Inc. (NASDAQ:AAPL)","Moody National Bank Trust Division trimmed its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 0.9% during the first quarter, HoldingsChannel.com reports. The fund owned 154,618 shares of the iâ€¦ [+6137 chars]",1,5,0.2
176,2025-06-25T15:48:13Z,Is AAPL Stock a Buy? Jim Cramer Says â€˜Maybe Notâ€™ Unless Apple Does This 1 Surprising Thing,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why are BP and Shell in merger talks? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How is AI impacting the US economy â€¦ [+757 chars]",-2,2,-1
178,2025-06-25T07:04:53Z,Baring Financial LLC Sells 476 Shares of Apple Inc. (NASDAQ:AAPL),"Baring Financial LLC cut its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 4.7% in the 1st quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The â€¦ [+6861 chars]",1,1,1
179,2025-06-25T07:04:53Z,jvl associates llc Has $10.45 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL),"jvl associates llc lowered its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 3.2% in the first quarter, according to the company in its most recent Form 13F filing with the Securities and Excâ€¦ [+6871 chars]",1,1,1
180,2025-06-25T20:27:48Z,"Morgan Stanley Expects 5.5 Million More iPad and iPhone Units Combined, Maintains Overweight Rating on Apple (AAPL)","Apple Inc. (NASDAQ:AAPL) is one of the 10 AI stocks that Jim Cramer and analysts are watching. On June 13, Morgan Stanley maintained an Overweight rating on AAPL shares and kept its $235 price targetâ€¦ [+1913 chars]",-2,2,-1
181,2025-06-25T20:00:00Z,"AAPL INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that Apple Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit","NEW YORK, June 25, 2025 (GLOBE NEWSWIRE) -- Attorney Advertising -- Bronstein, Gewirtz &amp; Grossman, LLC, a nationally recognized law firm, notifies investors that a class action lawsuit has been fâ€¦ [+2408 chars]",0,2,0
182,2025-06-25T07:47:39Z,Apple Eyes Perplexity AI Acquisition Amidst Search Engine Push,"Apple Inc. (NASDAQ:AAPL) is one of the best Fortune 500 stocks to buy according to billionaires. On June 21, Apple executives held internal discussions regarding a potential acquisition of the AI staâ€¦ [+1947 chars]",0,2,0
183,2025-06-25T07:48:56Z,Apple Inc. (NASDAQ:AAPL) is Town & Country Bank & Trust CO dba First Bankers Trust COâ€™s 4th Largest Position,"Town &amp; Country Bank &amp; Trust CO dba First Bankers Trust CO trimmed its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 6.0% in the 1st quarter, HoldingsChannel.com reports. The fuâ€¦ [+7015 chars]",5,5,1
184,2025-06-25T07:48:55Z,Apple Inc. (NASDAQ:AAPL) is Sage Capital Advisors llcâ€™s Largest Position,"Sage Capital Advisors llc cut its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 3.7% in the 1st quarter, according to its most recent filing with the Securities and Exchange Commissionâ€¦ [+7270 chars]",1,1,1
185,2025-06-25T07:48:52Z,AdvisorNet Financial Inc Cuts Stake in Apple Inc. (NASDAQ:AAPL),"AdvisorNet Financial Inc decreased its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 0.1% during the 1st quarter, according to the company in its most recent filing with the SEC. The fâ€¦ [+7000 chars]",1,1,1
186,2025-06-25T07:04:55Z,Apple Inc. (NASDAQ:AAPL) is Webster Bank N. A.â€™s 3rd Largest Position,"Webster Bank N. A. decreased its stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.2% in the first quarter, according to its most recent Form 13F filing with the Securities and Exchange â€¦ [+7096 chars]",1,1,1
187,2025-06-25T07:04:54Z,First Hawaiian Bank Reduces Position in Apple Inc. (NASDAQ:AAPL),"First Hawaiian Bank trimmed its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 7.5% during the first quarter, HoldingsChannel reports. The institutional investor owned 122,090 shares of the iPhonâ€¦ [+6899 chars]",1,1,1
188,2025-06-25T07:04:52Z,Apple Inc. (NASDAQ:AAPL) Holdings Lowered by General Partner Inc.,"General Partner Inc. trimmed its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 6.3% during the first quarter, HoldingsChannel reports. The institutional investor owned 72,248 shares of the iPhonâ€¦ [+6856 chars]",1,1,1
190,2025-06-25T23:25:29Z,Radiant Opto reports strong 1H25 results amid Apple orders and global tensions,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this functionâ€¦ [+307 chars]",3,3,1
191,2025-06-25T15:45:16Z,"Deals: 512GB M4 Mac mini, Desert Titanium iPhone 16 Pro, black Apple Watch Ultra 2, more","Todayâ€™s Apple deals are once kicking off with a notable deal on the latest M4 Mac mini, but this time we are highlighting a $100 price drop on the mid-range 512GB model down at $699. Next up, we are â€¦ [+6558 chars]",-1,1,-1
192,2025-06-25T13:35:07Z,"Best early Prime Day deals â€” 45 sales I'm shopping now on Apple, Yeti, Garmin and more","{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Tesla's European sales slump again? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's tariff policâ€¦ [+770 chars]",-3,3,-1
193,2025-06-25T13:18:54Z,"M5 OLED iPad Pro fall release more certain, screen production underway","The fall update adding the M5 chip to the iPad Pro is getting closer to reality, with OLED displays for the tablet reportedly entering mass production for a launch in October. 
Apple's fall updates â€¦ [+2311 chars]",-3,3,-1
194,2025-06-25T07:04:53Z,Apple Inc. (NASDAQ:AAPL) is Magnolia Capital Management Ltd.â€™s 5th Largest Position,"Magnolia Capital Management Ltd. decreased its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.1% in the 1st quarter, according to its most recent Form 13F filing with the Securities &amp; Exâ€¦ [+7000 chars]",1,1,1
195,2025-06-25T15:15:07Z,"Comparative Study: Apple And Industry Competitors In Technology Hardware, Storage & Peripherals Industry","In today's rapidly changing and highly competitive business world, it is vital for investors and industry enthusiasts to carefully assess companies. In this article, we will perform a comprehensive iâ€¦ [+145 chars]",2,2,1
196,2025-06-25T21:18:00Z,"ROSEN, A GLOBAL AND LEADING LAW FIRM, Encourages Apple Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action â€“ AAPL","NEW YORK, June 25, 2025 (GLOBE NEWSWIRE) -- 
WHY: Rosen Law Firm, a global investor rights law firm, announces the filing of a class action lawsuit on behalf of purchasers of securities of Apple Incâ€¦ [+3682 chars]",2,2,1
197,2025-06-25T15:42:31Z,What happens to old iPhones in 2025? CIRP says more people are selling them,"A few days ago, CIRP published a study showing what leads people to upgrade their iPhones and how Apple Intelligence isnt exactly it. Now, CIRP is back with a follow-up question: What happens to thosâ€¦ [+1535 chars]",2,2,1
199,2025-06-25T14:40:18Z,"Before iOS 26, Apple Could Bring Some Bug Fixes to Your iPhone With iOS 18.6","Before Apple releasesÂ iOS 26Â this fall, the company will releaseÂ iOS 18.6. The company released the first public beta of that software on June 18, but it didn't change much on the iPhones of developeâ€¦ [+2500 chars]",-2,2,-1
200,2025-06-25T13:20:02Z,Apple iPhone 17 Pro: The Best View Yet Of New Design Just Leaked,"Although its around 12 weeks until the next iPhones go on sale (read exactly when they will launch here), there have been numerous reports and leaks. The latest comes from a regular leaker, and aims â€¦ [+2107 chars]",-1,1,-1
201,2025-06-25T12:29:48Z,"Appleâ€™s mid-range 512GB M4 Mac mini is $100 off again at Amazon, now $699 shipped",Stock is seemingly running low (or completely gone) on select M4 Mac mini configurations at Amazon. While we are still tracking the $150 price drop on the more pricey 24GB model down at $849 via B&amâ€¦ [+2314 chars],-1,1,-1
202,2025-06-25T11:56:50Z,"2025 iPad Pro production underway, but pricing expected to deter many","2025 iPad Pro production is reportedly already underway, as both Samsung and LG began making the displays earlier this month. The new models are expected to launch toward the end of the year, with Ocâ€¦ [+2002 chars]",-1,1,-1
203,2025-06-26T23:13:38Z,JPMorgan cuts Apple stock price target on soft iPhone 17 outlook and delayed AI payoff,"Apples stock took a minor confidence hit today, as JPMorgan lowered its price target, though the firm kept its overall rating intact.
The adjustment comes as analyst Samik Chatterjee and his team diâ€¦ [+1891 chars]",1,3,0.3333333333333333
